"%s already exist","%s existieren bereits"
"%s already exists","%s existiert bereits"
"* Required Fields","* Pflichtangabe"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Store-Code sollte nur aus Buchstaben (a-z), Ziffern (0-9) oder Unterstrich (_) bestehen. Das erste Zeichen muss ein Buchstabe sein."
"Store Email Addresses","Store-E-Mail-Adressen"
"Store Information","Store-Information"
"Store Name","Store-Name"
"Delete Store View","Store-View löschen"
"Store View Information","Store-View-Information"
"Store View Name","Store-View-Name"
"Stores","Stores"
"Manage Stores","Stores verwalten"
"Submit","Submit"
"Search","Suche"
"Search Engines Optimization","Suchmaschinenoptimierung"
"System","System"
"Telephone","Telefon"
"Themes","Themes"
"Unknown scope ""%s""","Unbekannter Geltungsbereich ""%s"""
"Invalid base url type","Ungültiger Basis-URL-Typ"
"Invalid block: %s","Ungültiger Block: %s"
"Invalid block name to set child %s: %s","Ungültiger Blockname um Kindelement %s zu setzen: %s"
"Invalid block type: %s","Ungültiger Blocktyp: %s"
"Invalid transactional email code: ","Ungültiger E-Mail-Transaktionscode"
"Invalid layout update handle","Ungültiger Layoutupdate Alias"
"Invalid messages storage ""%s"" for layout messages initialization","Ungültiger Nachrichtenspeicher ""%s"" für die Initialisierung der Nachrichtenvorlage"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Ungültiger Parameter für Layout-Aktualisierung, Mage_Core_Model_Layout_Element wird erwartet"
"Invalid base dir type specified: %s","Ungültiges Hauptverzeichnis angegeben: %s"
"Unsecure","Ungesichert"
"Var (temporary files) directory","Var-Verzeichnis (temporäre Dateien)"
"Session Cookie management","Verwaltung der Sitzungscookies"
"Use Secure URLs in Admin","Verwende sichere URL im Administrationsbereich"
"Use Secure URLs in Frontend","Verwende sichere URL im Shopbereich"
"Use Web Server Rewrites","Verwende Webserver-Rewrites"
"Date From","Vom"
"Unable to proceed. Please, try again","Vorgang konnte nicht ausgeführt werden. Bitte versuchen Sie es später noch einmal."
"Forgot Password Email Template","Vorlage für ""Passwort vergessen""-E-Mail"
"Templates","Vorlagen"
"Template Path Hints","Vorlagen-Pfadhinweise"
"Web","Web"
"Website","Website"
"Create Website","Website anlegen"
"Edit Website","Website bearbeiten"
"Website not exists","Website existiert nicht"
"Unable to delete Website. Please, try again later.","Website konnte nicht gelöscht werden. Bitte versuchen Sie es später noch einmal."
"Delete Website","Website löschen"
"Website with the same code","Website mit identischem Identifikationscode"
"Save Website","Website speichern"
"Website was successfully deleted.","Website wurde gelöscht"
"Website was successfully saved","Website wurde gespeichert"
"Website Information","Website-Information"
"Website Name","Website-Name"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","WebsiteCode sollte nur aus Buchstaben (a-z), Ziffern (0-9) oder Unterstrich (_) bestehen. Das erste Zeichen muss ein Buchstabe sein."
"Deleting a store view will not delete the information associated with the store view (e.g. categories, products, etc.), but the store view will not be able to be restored. It is suggested that you create a database backup before deleting the store view.","Wenn Sie eine Store View löschen, werden damit verknüpfte Daten (z.B. Kategorien, Produkte) nicht gelöscht, aber die Store View kann nicht wiederhergestellt werden. Es wird empfohlen, vor dem Löschen einer Store View eine Datenbanksicherung anzufertigen."
"Deleting a website will not delete the information associated with the website (e.g. stores, categories, products, etc.), but the website will not be able to be restored. It is suggested that you create a database backup before deleting the website.","Wenn Sie eine Website löschen, werden damit verknüpfte Daten (z.B. Kategorien, Produkte) nicht gelöscht, aber die Website kann nicht wiederhergestellt werden. Es wird empfohlen, vor dem Löschen einer Website eine Datenbanksicherung anzufertigen."
"Deleting a store will not delete the information associated with the store (e.g. categories, products, etc.), but the store will not be able to be restored. It is suggested that you create a database backup before deleting the store.","Wenn Sie einen Store löschen, werden damit verknüpfte Daten (z.B. Kategorien, Produkte) nicht gelöscht, aber der Store kann nicht wiederhergestellt werden. Es wird empfohlen, vor dem Löschen eines Stores eine Datenbanksicherung anzufertigen."
"Timezone","Zeitzone"
"Target path for specified store","Zielpfad für angegebenen Store"
"Back","Zurück"
"Individualization","Individualisierung"
