"Subscribe to Newsletter","Für Newsletter anmelden"
"Processing data problem","Fehler bei der Datenverarbeitung."
"Invoice capture error","Fehler bei der Erfassung der Rechnung."
"Invoice cancel error.","Fehler beim Abbrechen der Rechnungsstellung."
"Creditmemo void error","Fehler beim Aufheben der Gutschrift."
"Invoice void error","Fehler beim Aufheben der Rechnung."
"Item qty declare error","Fehler beim Bestimmen der Artikelmenge"
"Order saving error: %s","Fehler beim Speichern der Bestellung: %s"
"Creditmemo cancel error.","Fehler beim Stornieren der Gutschrift."
"Guest","Gast"
"Purchased On","Gekauft am"
"Purchased From","Gekauft in"
"Purchased from (store)","Gekauft in (Store)"
"Mixed","Gemischt"
"Total Paid","Gesamt bezahlt"
"Total Due","Gesamt geschuldet"
"Total(ex)","Gesamtbetrag (exkl.)"
"Total(inc)","Gesamtbetrag (inkl.)"
"Total Qty","Gesamtmenge"
"Grand Total","Gesamtsumme"
"G.T. (Base)","Gesamttotal (Basis)"
"G.T. (Purchased)","Gesamttotal (gekauft)"
"Grand Total:","Gesamttotal:"
"Gift","Geschenk"
"Gift Certificate","Geschenkgutschein"
"Gift Message","Geschenknachricht"
"Add a gift message for the <strong>entire order</strong>","Geschenknachricht für <strong>gesamte Bestellung</strong> hinzufügen"
"Add a gift message for <strong>each gift item</strong>","Geschenknachricht für <strong>jedes Geschenk</strong> hinzufügen"
"Gift Message for this Order","Geschenknachricht für diese Bestellung"
"Gift Message for Entire Order","Geschenknachricht für gesamte Bestellung"
"Closed","geschlossen"
"Apply Coupon Code","Gutschein anrechnen"
"Remove Coupon Code","Gutschein entfernen"
"Coupons","Gutscheine"
"Creditmemo","Gutschrift"
"Credit Memo","Gutschrift"
"Submit Credit Memo","Gutschrift übermitteln"
"Can not save creditmemo","Gutschrift kann nicht gespeichert werden."
"Credit Memo total must be positive.","Gutschrift muss positiven Wert ergeben"
"Credit Memo # ","Gutschrift Nr."
"Creditmemo was successfully voided","Gutschrift wurde aufgehoben."
"Creditmemo was successfully created","Gutschrift wurde erstellt."
"Creditmemo was successfully canceled.","Gutschrift wurde storniert."
"Credit Memo email not sent","Gutschrift-E-Mail nicht versandt"
"Credit Memo email sent","Gutschrift-E-Mail versandt"
"Creditmemos","Gutschriften"
"Credit Memos","Gutschriften"
"Credit Memo Comments","Gutschriftenkommentar"
"Shipping &amp; Handling Information","Hinweise zu Versand &amp; Bearbeitung"
"Add","Hinzufügen"
"ID","ID"
"Some items have quantities exceeding allowed quantities. Please select a lower quantity to checkout.","Ihr Warenkorb enthält einige Artikel in einer höheren als zugelassenen Stückzahl. Bitte verringern Sie die Stückzahl, um den Bezahlvorgang fortzusetzen."
"Track your order","Ihre Bestellungen verfolgen"
"Shipping","im Versand"
"Add to Cart","In den Warenkorb"
"Invoiced","In Rechnung gestellt"
"Information","Information"
"Invoice #","Invoice #"
"Item Status","Item Status"
"No items","Keine Artikel"
"No Payment Methods","Keine Bezahlarten"
"No detail for number ""%s""","Keine Details für Nr. ""%s"""
"Comment","Kommentar"
"Append Comments","Kommentar anfügen"
"Submit Comment","Kommentar übermitteln"
"Add Order Comments","Kommentar zur Bestellung hinzufügen"
"Comments History","Kommentarverlauf"
"Can not do credit memo for order","Konnte keine Gutschrift für die Bestellung erstellen"
"Can not do invoice for order","Konnte keine Rechnung für die Bestellung erstellen."
"Create New Customer","Kunden anlegen"
"Notify Customer","Kunden informieren"
"Customer Group","Kundengruppe"
"Customer Name","Kundenname"
"Can not load track with retrieving identifier.","Laden des Tracks mit abgefragtem Bezeichner nicht möglich."
"Country","Land"
"State/Province","Land/Kanton"
"Delete","Löschen"
"Can not initialize shipment for delete tracking number.","Löschen einer Trackingnummer für den Versand nicht möglich."
"Link to the previous order","Link zu vorheriger Bestellung"
"Link to the new order","Link zur neuen Bestellung"
"Logo (200x50)","Logo (200x50)"
"Are you sure you want to cancel this order?","Möchten Sie den Bestellvorgang wirklich abbrechen?"
"My Orders","Meine Bestellungen"
"My Orders - Details","Meine Bestellungen - Details"
"Qty","Menge"
"QTY","Menge"
"Qty Ordered","Menge bestellt"
"Qty To Add","Menge hinzuzufügen"
"Qty Invoiced","Menge in Rechnung gestellt"
"Qty to Invoice","Menge in Rechnung zu stellen"
"Can not update item qty","Menge kann nicht aktualisiert werden."
"Qty Canceled","Menge storniert"
"Qty Shipped","Menge versandt"
"Apply Tax after Discount","MWST nach Rabatt"
"Reorder","Nachbestellen"
"Backordered","Nachbestellt"
"Allow Reorder","Nachbestellung erlauben"
"Last Name","Nachname"
"Message","Nachricht"
"Message:","Nachricht:"
"To Name","Name"
"Add New Address","Neue Adresse hinzufügen"
"New order","Neue Bestellung"
"New Credit Memo","Neue Gutschrift"
"New Invoice","Neue Rechnung"
"Can not add new comment.","Neuer Kommentar konnte nicht hinzugefügt werden."
"New Status","Neuer Status"
"New Shipment","Neuer Versand"
"Recent Orders","Neuste Bestellungen"
"Newsletter Subscription","Pressemitteilung-Newsletter"
"Notified","Notified"
"Number","Nummer"
"Order #","Order #"
"Order # ","Order # "
"Order # %s | Order Date %s","Order # %s | Order Date %s"
"Original Price","Original Price"
"Print Packingslips","Packzettel drucken"
"Packingslip # ","Packzettel Nr."
"PDF Credit Memos","PDF Gutschriften"
"PDF Packingslips","PDF Packzettel"
"PDF Invoices","PDF Rechnungen"
"ZIP/Post Code","Postleitzahl"
"Price","Preis"
"Catalog prices include tax","Preise inkl. MWST."
"Product","Produkt"
"Add Product","Produkt hinzufügen"
"Products","Produkte"
"Products in Compare List","Produkte in Vergleichsliste"
"Product Name","Produktname"
"Discount ","Rabatt "
"Discount (%s)","Rabatt (%s)"
"Discount :","Rabatt:"
"Discount Amount","Rabattbetrag:"
"Refund","Rückerstatten"
"Refunded","Rückerstattet"
"Refund Amount","Rückerstattung"
"Refund Offline","Rückerstattung (offline)"
"Refund #","Rückerstattung Nr."
"Refund #%s","Rückerstattung Nr. %s"
"Shipping Refund","Rückerstattung Versand"
"Refunds","Rückerstattungen"
"Invoice","Rechnung"
"Bill to Name","Rechnung an"
"Bill to Last name","Rechnung an - Nachname"
"Bill to First name","Rechnung an - Vorname"
"Submit Invoice","Rechnung übermitteln"
"Print Invoice","Rechnung drucken"
"Can not save invoice","Rechnung kann nicht gespeichert werden."
"Invoice # ","Rechnung Nr."
"Invoice #%s","Rechnung Nr. %s"
"Invoice email not sent","Rechnung per E-Mail nicht versandt"
"Invoice email sent","Rechnung per E-Mail versandt"
"Invoice was successfully voided","Rechnung wurde erfolgreich aufgehoben."
"Invoice was successfully captured","Rechnung wurde erfolgreich erfasst."
"Invoice was successfully created","Rechnung wurde erfolgreich erstellt."
"Invoices","Rechnungen"
"Print Invoices","Rechnungen drucken"
"Billing Address","Adresse"
"Invoice Date","Rechnungsdatum"
"Invoice Comments","Rechnungskommentare"
"Invoice was successfully canceled.","Rechnungsstellung wurde erfolgreich abgebrochen."
"Checkout totals sort order","Reihenfolge der Gesamtbeträge des Bezahlvorgangs"
"New Order RSS","RSS für neue Bestellungen"
"Send Order Comment Email Copy To","Sende Bestellkommentar in Kopie an E-Mail"
"Send Order Email Copy To","Sende Bestellung in Kopie an E-Mail"
"Send Credit Memo Email Copy To","Sende Gutschrift in Kopie an E-Mail"
"Send Credit Memo Comment Email Copy To","Sende Gutschriftenkommentar in Kopie an E-Mail"
"Send Invoice Email Copy To","Sende Rechnung in Kopie an E-Mail"
"Send Invoice Comment Email Copy To","Sende Rechnungskommentar in Kopie an E-Mail"
"Send Shipment Email Copy To","Sende Versandinformationen in Kopie an E-Mail"
"Send Shipment Comment Email Copy To","Sende Versandkommentar in Kopie an E-Mail"
"Ship","Senden"
"Ship to","Senden an"
"Submit Shipment","Sendung übermitteln"
"Shipment was successfully created.","Sendung wurde angelegt."
"Shipments","Sendungen"
"separate by "",""","separate by "","""
"Store Credit","Shop-Guthaben"
"You have placed no orders.","Sie haben keine Bestellungen getätigt."
"Are you sure?","Sind Sie sicher?"
"Are you sure? This order will be cancelled and a new one will be created instead","Sind Sie sicher? Die Bestellung wird storniert und an ihrer Stelle eine neue erzeugt"
"<span style=""color:red"">Warning: when catalog prices include tax, should be set to ""No""</span>","span style=""color:red"">Hinweis: Muss auf ""Nein"" gesetzt werden, falls Preise inkl. MWST</span>"
"Status","Status"
"Change Status","Status ändern"
"Unknown Status","Status unbekannt"
"Unknown State","Status unbekannt"
"Tax","Steuer"
"Tax Based On","Steuer basiert auf"
"Tax Calculation","Steuerberechnung"
"Tax Amount","Steuerbetrag"
"Tax Class for Shipping","Steuerklasse für Versand"
"Canceled","Storniert"
"Partial","teilweise"
"Telephone","Telefon"
"Comment Text","Text"
"Comment text field can not be empty.","Textfeld darf nicht leer bleiben."
"The item %s (SKU %s) doesn't exist in the catalog anymore","The item %s (SKU %s) doesn't exist in the catalog anymore"
"Title","Titel"
"Tracking Number","Tracking-Nummer"
"Tracking number can not be empty.","Tracking-Nummer darf nicht leer sein."
"Can not delete tracking number.","Tracking-Nummer konnte nicht gelöscht werden."
"Can not add tracking number.","Tracking-Nummer konnte nicht hinzugefügt werden."
"Tracking Number(s)","Tracking-Nummern"
"Send Tracking Information","Trackinginformationen senden"
"Add Tracking Number","Trackingnummer hinzufügen"
"Sorry, no quotes are available for this order at this time.","Tut uns leid, für diese Bestellung liegen derzeit keine Angebote vor."
"Invalid qty to invoice item ""%s""","Ungültige Menge, um Artikel ""%s"" in Rechnung zu stellen"
"Invalid qty to ship for item ""%s""","Ungültige Menge, um Artikel ""%s"" zu versenden"
"Invalid qty to refund item ""%s""","Ungültige Menge, um Artikel ""%s"" zurück zu erstatten"
"Update Qty's","Update Qty's"
"Processing","Verarbeitung"
"Sales Emails","Verkaufsmails"
"SOLD TO:","VERKAUFT AN:"
"Sales","Verkäufe"
"Shipment","Versand"
"Shipping & Handling","Versand & Bearbeitung"
"Shipping & Handling:","Versand & Bearbeitung:"
"Shipping &amp; Handling","Versand &amp; Bearbeitung"
"Ship to Last name","Versand - Nachname"
"Ship to Name","Versand - Name"
"Ship to First Name","Versand - Vorname"
"Ship to First name","Versand - Vorname"
"SHIP TO:","VERSAND AN:"
"Can not do shipment for order.","Versand für die Bestellung kann nicht angestoßen werden."
"Can not save shipment.","Versand kann nicht gespeichert werden."
"Shipment #","Versand Nummer"
"Shipment #%s","Versand Nummer %s"
"Create Shipment","Versand starten"
"Shipping Address","Versandadresse"
"Shipping Method","Versandart"
"Shipping Method:","Versandart:"
"Get shipping methods and rates","Versandarten und -kosten"
"Date Shipped","Versanddatum"
"Shipping Information","Versandinformationen"
"Print Shipment","Versandinformationen drucken"
"Can not send shipment information.","Versandinformationen können nicht gesendet werden."
"Shipment was successfully sent.","Versandinformationen wurden versandt."
"Shipment Comments","Versandkommentare"
"Shipment email not sent","Versandmail nicht verstandt"
"Shipment email sent","Versandmail versandt"
"Shipping Amount","Versandmenge"
"Shipped","Versandt"
"Shipped By","Versandt von"
"Carrier","Versender"
"Complete","vollständig"
"From","Von"
"From Name","Von Name"
"From:","Von:"
"Credit Memo Email Template","Vorlage für Gutschrift-E-Mail"
"New Order Confirmation Template","Vorlage für neue Bestellbestätigung "
"First Name","Vorname"
"Shopping Cart","Warenkorb"
"Order Currency:","Währung der Bestellung:"
"Website","Website"
"Same As Billing Address","wie Rechnungsanschrift"
"Unhold","Wiederaufnehmen"
"Wishlist","Wunschzettel"
"Payment Information","Zahlungsinformation"
"Payment Method","Zahlweise"
"Row Total","Zeile Total"
"Grand Total to be charged","zu belastender Gesamtbetrag"
"Recently Viewed","Zuletzt angesehen"
"Recently Viewed Products","Zuletzt angesehene Produkte"
"Last ordered items","Zuletzt bestellte Artikel"
"Recently Compared Products","Zuletzt verglichene Produkte"
"Add To Order","Zur Bestellung hinzufügen"
"Back to My Orders","Zurück zu meinen Bestellungen"
"Returned","Zurückgeschickt"
"On Hold","zurückgestellt"
"Hold","Zurückstellen"
"Hold action is not available","Zurückstellen nicht verfügbar"
"Subtotal","Zwischensumme"
"Individualization","Individualisierung"
