"%s already exist","%s esiste già"
"%s already exists","%s esistono già"
"* Required Fields","* Campi Obbligatori"
"Store with the same code","Negozi con lo stesso codice"
"Store","Negozio"
"Default Store","Negozio di default"
"Name","Nome"
"Invalid block name to set child %s: %s","Nome del blocco figlio non valido%s: %s"
"File Name","Nome del file"
"Exception Log File Name","Nome del file di Log degli Errori"
"Current package name","Nome del pacchetto corrente"
"Store View Name","Nome della Vetrina del Negozio"
"Sender name","Nome Mittente"
"Store Name","Nome Negozio"
"Website Name","Nome Sito"
"Unable to create backup. Please, try again later.","Non è stato possibile creare il backup. Per favore, riprova più tardi."
"Unable to delete Store. Please, try again later.","Non è stato possibile eliminare il negozio. Per favore, riprova più tardi."
"Unable to delete Website. Please, try again later.","Non è stato possibile eliminare il Website. Per favore, ritenta più tardi."
"Unable to delete Store View. Please, try again later.","Non è stato possibile eliminare la vista del negozio. Per favore, riprova più tardi."
"Unable to proceed. Please, try again","Non è stato possibile procedere. Per favore, ritenta."
"You have no items to compare.","Non ci sono Prodotti da confrontare."
"Cannot Delete Email Template","Non posso eliminare il Template dell'Email"
"Can't retrieve request object","Non posso recuperare l'oggetto richiesto."
"Wrong number of arguments for %s","Numero di argomenti sbagliato per %s"
"New Store View","Nuova Vetrina del negozio"
"New Design Change","Nuove Modifiche al Design"
"New Store","Nuovo negozio"
"New Website","Nuovo sito"
"General Settings","Opzioni Generali"
"Countries options","Opzioni Paese"
"SMTP settings (Windows server only)","Opzioni SMTP (Solo per server windows)"
"Url Options","Opzioni Url"
"Sort order","Ordinamento"
"Search Engines Optimization","Ottimizzazione motori di ricerca"
"Package","Pacchetto"
"Default country","Paese di default"
"Default Pages","Pagine di Default"
"Please enter a valid email address. For example johndoe@domain.com.","Per favore immetti un indirizzo email valido. Per esempio johndoe@domain.com."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Per favore inserire un numero di telefono valido. Per esempio (123) 456-7890 or 123-456-7890."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Per favore inserisci 6 o più caratteri. Gli spazi iniziali o finali verranno ignorati"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Per favore usa numeri solo in questo campo. Per favore evita spazi o altri caratteri come punti o virgole."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Per favore usa solo lettere (a-z) o numeri (0-9) o spazi e # solo in questo campo."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Per favore usa solo lettere (a-z) o numeri (0-9) solo in questo campo. Non sono ammessi spazi o altri caratteri."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Per favore usa solo lettere (a-z), numeri (0-9) o underscore(_) in questo campo, il primo carattere deve essere una lettera."
"Cookie Path","Percorso del Cookie"
"Invalid websites configuration path: %s","Percorso della configurazione del sito web non valida: %s"
"Id path for specified store","Percorso id per il negozio specificato"
"Target path for specified store","Percorso per specifico store"
"Request path for specified store","Percorso richiesto per i negozi specificati"
"Custom Design","Personalizza Design"
"Custom email 1","Personalizza email 1"
"Custom email 2","Personalizza email 2"
"Customer support","Personalizza supporto"
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please specify payment method.","Please specify payment method."
"Please use letters only (a-z or A-Z) in this field.","Please use letters only (a-z or A-Z) in this field."
"Port (25)","Porta (25)"
"Before modifying the website code please make sure that it is not used in index.php","Prima di modificare il codice del sito assicurati che non sia utilizzato in index.php"
"Before modifying the store view code please make sure that it is not used in index.php","Prima di modificare la vista negozio assicurati che non sia usata in index.php"
"Profiler","Profilo"
"Clear All","Pulisci Tutto"
"This category and its products","Questa categoria e i suoi prodotti"
"This category and its child categories","Questa categoria e le sue sottocategorie"
"This Store View cannot be deleted","Questa Vetrina del Negozio non può essere eliminata"
"This Store View cannot be deleted.","Questa Vetrina del Negozio non può essere eliminata."
"This is a required field.","Questo è un campo obbligatorio."
"This Store cannot be deleted","Questo negozio non può essere eliminato"
"This Store cannot be deleted.","Questo negozio non può essere eliminato."
"This Website cannot be deleted","Questo Website non può essere eliminato"
"This Website cannot be deleted.","Questo Website non può essere eliminato."
"Developer Client Restrictions","Restrinzioni del Client sviluppatore"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Riceverà un'email di conferma con i dettagli del suo ordine e un link per monitorare i suoi progressi."
"Remove This Item","Rimuovi Questo Oggetto"
"Resource is not set","Risorsa non impostata"
"Save","Salva"
"Save Store View","Salva la Vetrina del Negozio"
"Save Store","Salva Negozio"
"Save Website","Salva sito"
"Are you sure?","Sei sicuro?"
"Please select an option.","Seleziona una opzione."
"Please select State/Province.","Selezionare stato/provincia."
"Please select one of the above options.","Selezionare una delle opzioni sopra indicate."
"Please select one of the options.","Selezionare una delle opzioni."
"Services","Servizi"
"Secure","Sicuro"
"System","Sistema"
"Website","Sito"
"Base Skin URL","Skin URL di base"
"This category only","Solo questa categoria"
"Please specify shipping method.","Specifica il metodo di spedizione"
"Status","Stato"
"Template Path Hints","Suggerimenti Percorso Template"
"Developer","Sviluppatore"
"Empty identifier field name","Svuota il campo nome identificatore"
"Empty main table name","Svuota il nome principale della tabella"
"Telephone","Telefono"
"Skin (Images / CSS)","Tema (Immagini / CSS)"
"Themes","Temi"
"Cookie Lifetime","Tempo di validità del Cookie "
"Invalid block type: %s","Tipo di blocco non valido: %s"
"Translations","Traduzioni"
"All","Tutto"
"Invalid base url type","URL base specificato non valido"
"Base URL","URL di base"
"Use Web Server Rewrites","Usa il Web Server Rewrites"
"Use Secure URLs in Frontend","Usa URLs sicuri nel Frontend"
"Use Secure URLs in Admin","Usa URLs sicuri nel portale Amministratore"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Usare questo formato data: dd/mm/yyyy. Per esempio 17/03/2006 per il 17 marzo, 2006."
"Please use letters only (a-z) in this field.","Utilizzare solo lettere (a-z) in questo campo."
"Go","Vai"
"Var (temporary files) directory","Var (file temporanei) cartella"
"Store View was successfully deleted.","Vetrina del Negozio eliminata correttamente."
"Store View was successfully saved","Vetrina del Negozio salvata correttamente"
"Default Store View","Vista del negozio di default"
"Web","Web"
"Default web url","Web url di default"
"Website with the same code","Website con lo stesso codice"
"Website was successfully deleted.","Website eliminato correttamente."
"Your order can not be completed at this time as there is no payment methods available for it.","Your order can not be completed at this time as there is no payment methods available for it."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make neccessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make neccessary changes in your shipping address."
