"Bill to First name","Prénom (Fact.)"
"Bill to Last name","Nom de famille (Fact.)"
"Bill to Name","Nom (Fact.)"
"Billing Address","Adresse de facturation"
"Can not add order history.","Impossible d'ajouter l'historique de commande."
"Can not create block ""%s""","Impossible de créer le bloc ""%s"""
"Can not do invoice for order.","Impossible de créer la facture pour la commande."
"Can not do shipment for order.","Impossible de créer la livraison pour la commande."
"Can not register existing creditmemo","Impossible d'enregistrer un avoir existant."
"Can not register existing invoice","Impossible d'enregistrer une facture existante."
"Can not register existing shipment","Impossible d'enregistrer une livraison existante."
"Can\'t get order instance","Impossible de récupérer l\'instance de commande"
"Cancel","Annuler"
"Cancel invoice","Annuler la facture"
"Cancel order","Annuler la commande"
"Canceled","Annulée"
"Cannot create an empty shipment.","Impossible de créer une livraison vide."
"Capture","Collecter"
"Capture Amount","Collecter le montant"
"Capture Offline","Capturer hors ligne"
"Capture Online","Capturer en ligne"
"Capture invoice","Capturer la facture"
"Carrier","Transporteur"
"Change Status","Modifier le statut"
"Change status, add comments","Modifier le statut, ajouter des commentaires"
"Checkout totals sort order","Ordre de tri des totaux de commande"
"Click to change shipping method","Cliquer pour changer le mode de livraison"
"Closed","Fermée"
"Comment","Commentaire"
"Comment Text","Texte du commentaire"
"Comments","Commentaires"
"Comments History","Historique de commentaires"
"Complete","Terminée"
"Country","Pays"
"Coupons","Bons de réduction"
"Create","Créer"
"Create New Customer","Créer un nouveau client"
"Create New Order","Créer une nouvelle commande"
"Create New Order for %s","Créer une nouvelle commande pour %s"
"Create New Order for %s in %s","Créer une nouvelle commande pour %s dans %s"
"Create New Order for New Customer","Créer une nouvelle commande pour un nouveau client"
"Create New Order for New Customer in %s","Créer une nouvelle commande pour un nouveau client dans %s"
"Create Shipment","Créer la livraison"
"Create new invoice for order","Créer une facture pour la commande"
"Create new shipment for order","Créer une livraison pour la commande"
"Created At","Créé le"
"Credit Memo","Avoir"
"Credit Memo #","N° d'avoir"
"Credit Memo #","N° d'avoir"
"Credit Memo Comment Email Sender","Expéditeur du mail de commentaire d'avoir"
"Credit Memo Comment Email Template","Gabarit de mail de commentaire d'avoir"
"Credit Memo Comment Email Template for Guest","Gabarit de mail de commentaire d'avoir pour un invité"
"Credit Memo Comments","Commentaires d'avoir"
"Credit Memo Email Sender","Expéditeur du mail d'avoir"
"Credit Memo Email Template","Gabarit de mail d'avoir"
"Credit Memo Email Template for Guest","Gabarit de mail d'avoir pour un invité"
"Credit Memo Update","Mise à jour de l'avoir"
"Credit Memo Update for Guest","Mise à jour de l'avoir pour un invité"
"Credit Memo email not sent","Mail d'avoir non envoyé"
"Credit Memo email sent","Mail d'avoir envoyé"
"Credit Memos","Avoirs"
"Creditmemo","Avoir"
"Custom Options","Options personnalisables"
"Custom Value","Valeur personnalisée"
"Customer Group","Groupe de clients"
"Customer Name","Nom du client"
"Date","Date"
"Date Shipped","Date d'expédition"
"Date of Birth","Date de naissance"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","Logo par défaut, utilisé dans les documents PDF et HTML.<br />(jpeg, tiff, png)"
"Delete","Supprimer"
"Description message","Message de description"
"Discount","Remise"
"Discount","Remise"
"Discount (%s)","Remise (%s)"
"Discount :","Remise :"
"Discount Amount","Remise"
"Discount%s","Remise %s"
"Display Order ID in Header","Afficher l'identifiant de commande dans l'en-tête"
"Document","Document"
"Edit","Éditer"
"Edit Order #%s","Modifier la commande #%s"
"Email","Email"
"Email Copy of Credit Memo","Envoyer une copie de l'avoir par mail"
"Email Copy of Invoice","Envoyer une copie de la facture par mail"
"Email Copy of Shipment","Envoyer une copie de la livraison par mail"
"Email Order Confirmation","Envoyer la confirmation de commande par mail"
"Enable","Activer"
"Enabled","Activé"
"Error to show in shopping cart","Erreur à afficher dans le panier"
"Excl. Tax","HT"
"From","Entre"
"From Name","De la part de"
"From:","De :"
"G.T. (Base)","Montant total<br/>(Devise de base)"
"G.T. (Purchased)","Montant total<br/>(Devise de la commande)"
"Get shipping methods and rates","Récupérer les modes de livraison et les taux"
"Gift","Cadeau"
"Gift Certificate","Chèque cadeau"
"Gift Message","Message du cadeau"
"Gift Message for Entire Order","Message cadeau pour toute la commande"
"Gift Message for this Order","Message cadeau pour cette commande"
"Grand Total","Montant global"
"Grand Total to be charged","Total à facturer"
"Grand Total:","Montant global :"
"Guest","Invité"
"Hold","Bloquer"
"Hold action is not available","L'action bloquer n'est pas disponible"
"Hold order","Bloquer la commande"
"ID","ID"
"If empty, the default description above will be used","Si ce champ n'est pas rempli, la description par défaut ci-dessus sera utilisée"
"If empty, the default error above will be used","Si ce champ n'est pas rempli, l'erreur par défaut ci-dessus sera utilisée"
"Incl. Tax","TTC"
"Information","Information"
"Invalid carrier specified.","Transporteur spécifié invalide."
"Invalid item option format","Format d'option d'article invalide."
"Invalid qty to invoice item ""%s""","Quantité à facturer invalide pour l'article ""%s"""
"Invalid qty to refund item ""%s""","Quantité à rembourser invalide pour l'article ""%s"""
"Invalid qty to ship for item ""%s""","Quantité à livrer invalide pour l'article ""%s"""
"Invalid renderer model","Modèle invalide"
"Invalid request for adding product to quote","Demande invalide d'ajout de produit au panier."
"Invoice","Facture"
"Invoice #","N° de facture"
"Invoice #","N° de facture"
"Invoice #%s","Facture N°%s"
"Invoice Comment Email Sender","Expéditeur du mail de commentaire de facture"
"Invoice Comment Email Template","Gabarit de mail commentaire de facture"
"Invoice Comment Email Template for Guest","Gabarit de mail de commentaire de facture pour un invité"
"Invoice Comments","Commentaires de facture"
"Invoice Date","Date de facturation"
"Invoice Email Sender","Expéditeur du mail de facture"
"Invoice Email Template","Gabarit mail de facture"
"Invoice Email Template for Guest","Gabarit de mail de facture pour un invité"
"Invoice Update","Mise à jour de facture"
"Invoice Update for Guest","Mise à jour de facture pour un invité"
"Invoice and Packing Slip Design","Design de facture et de bordereau de livraison"
"Invoice can not be canceled","La facture ne peut pas être annulée"
"Invoice can not be captured","La facture ne peut pas être capturée"
"Invoice can not be void","La facture ne peut pas être invalidée"
"Invoice cancel problem","Problème lors de l'annulation de facture"
"Invoice capture problem","Problème lors de la capture de facture"
"Invoice email not sent","Mail de facture non envoyé"
"Invoice email sent","Mail de facture envoyé"
"Invoice void problem","Problème lors de l'invalidation de facture"
"Invoiced","Facturé"
"Invoices","Factures"
"Item","Article"
"Item object is not specified.","L'objet article n'est pas spécifié."
"Item option with code %s already exist","Une option d'article avec ce code existe déjà"
"Item options declare error","Erreur de déclaration d'options d'article"
"Item qty declare error","Erreur de déclaration de la quantité d'articles"
"Items Invoiced","Articles facturés"
"Items Ordered","Articles commandés"
"Items Refunded","Articles remboursés"
"Items Shipped","Articles expédiés"
"Items options declare error.","Erreur de déclaration d'options d'articles"
"Items to Invoice","Articles à facturer"
"Items to Refund","Articles à rembourser"
"Items to Ship","Articles à expédier"
"Last ordered items","Derniers articles commandés"
"Link to the new order","Lier à la nouvelle commande"
"Link to the previous order","Lier à la commande précédente"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo pour les documents HTML seulement. Sinon, c'est le logo par défaut qui sera utilisé.<br />(jpeg, gif, png)"
"Logo for HTML print view","Logo pour l'aperçu avant impression HTML"
"Logo for PDF print-outs (200x50)","Logo pour les impressions PDF (200x50)"
"Message","Message"
"Message:","Message :"
"Minimum amount","Montant minimum"
"Minimum order amount","Montant de commande minimum"
"Mixed","Assortiment"
"Multi-address description message","Message de description multi-adresse"
"Multi-address error to show in shopping cart","Erreur multi-adresse à afficher dans le panier"
"My Orders","Mes commandes"
"My Orders - Details","Mes commandes - Détails"
"Name","Nom (usage interne)"
"New","Nouveau"
"New Credit Memo","Nouvel avoir"
"New Credit Memo for Guest","Nouvel avoir pour un invité"
"New Invoice","Nouvelle facture"
"New Invoice for Guest","Nouvelle facture pour un invité"
"New Order","Nouvelle commande"
"New Order Confirmation Email Sender","Expéditeur du mail de confirmation de commande"
"New Order Confirmation Template","Gabarit de confirmation nouvelle commande"
"New Order Confirmation Template for Guest","Gabarit de confirmation de nouvelle commande pour un invité"
"New Order RSS","Flux RSS des nouvelles commandes"
"New Order for Guest","Nouvelle commande pour un invité"
"New Shipment","Nouvelle livraison"
"New Shipment for Guest","Nouvelle expédition pour un invité"
"New Status","Nouveau statut"
"Newsletter Subscription","Inscription à la newsletter"
"No Payment Methods","Aucun mode de paiement"
"No detail for number ""%s""","Aucun détail pour le numéro ""%s"""
"No items","Aucun article"
"Not Capture","Pas de capture"
"Notify Customer","Avertir le client"
"Number","Numéro"
"On Hold","Bloquée"
"Order","Commande"
"Order #","N° de commande"
"Order #","N° de commande"
"Order # %s","Commande N°%s"
"Order #%s","Commande N°%s"
"Order #%s - %s","Commande N°%s - <small><em>%s</em></small>"
"Order API","API commande"
"Order Comment","Commentaire de la commande"
"Order Comment Email Sender","Expéditeur du mail de commentaire de commande"
"Order Comment Email Template","Gabarit de mail de commentaire de commande"
"Order Comment Email Template for Guest","Gabarit de mail de commentaire de commande pour un invité"
"Order Comments","Commentaires de commande"
"Order Credit Memos","Avoirs de la commande"
"Order Currency:","Devise de la commande :"
"Order Date","Date de commande"
"Order Date (%s)","Date de commande (%s)"
"Order Date: ","Date de commande :"
"Order Date: %s","<strong>Date de commande :</strong> %s"
"Order Details","Détails de la commande"
"Order Grand Total","Montant global"
"Order History","Historique"
"Order Information","Informations commande"
"Order Invoices","Factures de la commande"
"Order Shipments","Livraisons de la commande"
"Order Status","Statut"
"Order Subtotal","Sous-total de la commande"
"Order Subtotal:","Sous-total :"
"Order Total","Total de la commande"
"Order Totals","Totaux commandes"
"Order Update","Mise à jour de commande"
"Order Update for Guest","Mise à jour de commande pour un invité"
"Order View","Vue de commande"
"Order invoice","Facture de la commande"
"Order object is not specified.","L'objet commande n'est pas spécifié."
"Order saving error: %s","Erreur lors de la sauvegarde de la commande : %s"
"Order shipments","Livraisons de la commande"
"Order was not cancelled.","La commande n'a pas été annulée."
"Order was not put on hold.","La commande n'a pas été bloquée."
"Order was not unholded.","La commande n'a pas été débloquée."
"Order was placed using %s","La commande a été passée dans la devise : %s"
"Order was successfully cancelled.","La commande a bien été annulée."
"Order was successfully put on hold.","La commande a bien été bloquée."
"Order was successfully released from holding status.","La commande a bien été débloquée."
"Ordered","Commandé"
"Orders","Commandes"
"PDF Credit Memos","Avoirs PDF"
"PDF Invoices","Factures PDF"
"PDF Packingslips","Bordereaux de livraison PDF"
"PDF Print-outs","Impressions PDF"
"PDF object is not specified.","L'objet PDF n'est pas spécifié."
"PDF page object is not specified.","L'objet de page PDF n'est pas spécifié."
"Packingslip # ","Bordereau de livraison n°"
"Paid","Payée"
"Paid Amount","Montant réglé"
"Partial","Partiel"
"Payment Failed","Erreur lors du paiement"
"Payment Information","Informations de paiement"
"Payment Method","Mode de paiement"
"Payment Method:","Mode de paiement :"
"Pending","En attente"
"Pending PayPal","En attente de Paypal"
"Pending Payment","En attente de paiement"
"Placed from IP","Adresse IP"
"Please select a customer","Sélectionnez un client"
"Please select a store","Sélectionnez un magasin"
"Please select products to add","Sélectionnez les produits à ajouter"
"Price","Prix"
"Print","Imprimer"
"Print All","Tout imprimer"
"Print All Invoices","Imprimer toutes les factures"
"Print All Refunds","Imprimer tous les remboursements"
"Print All Shipments","Imprimer toutes les livraisons"
"Print Credit Memos","Imprimer les avoirs"
"Print Invoice","Imprimer la facture"
"Print Invoices","Imprimer les factures"
"Print Order","Imprimer la commande"
"Print Order # %s","Imprimer la commande n°%s"
"Print Packingslips","Imprimer les bordereaux de livraison"
"Print Refund","Imprimer le remboursement"
"Print Shipment","Imprimer la livraison"
"Processing","En cours de traitement"
"Processing data problem","Problème de traitement de données"
"Product","Produit"
"Product Name","Nom de produit"
"Products","Produits"
"Products in Compare List","Produits dans la liste de comparaison"
"Purchased From","Acheté sur"
"Purchased On","Date d'achat"
"Purchased from (store)","Acheté sur"
"QTY","QTÉ"
"Qty","Qté"
"Qty Invoiced","Qté facturée"
"Qty Ordered","Qté commandée"
"Qty Shipped","Qté livrée"
"Qty To Add","Qté à ajouter"
"Qty to Invoice","Qté à facturer"
"Recent Orders","Commandes récentes"
"Recently Compared Products","Produits récemment comparés"
"Recently Viewed","Vu récemment"
"Recently Viewed Products","Produits récemment consultés"
"Refresh","Rafraîchir"
"Refund","Rembourser"
"Refund #","Remboursement n°"
"Refund #%s","Remboursement n°%s"
"Refund Amount","Montant du remboursement"
"Refund Offline","Remboursement hors ligne"
"Refund Totals","Total remboursé"
"Refunded","Remboursé"
"Refunds","Remboursements"
"Remove","Supprimer"
"Remove Coupon Code","Supprimer le code de bon de réduction"
"Remove tracking number","Supprimer le numéro de suivi"
"Reorder","Renouveler la commande"
"Retrieve invoice information","Récupérer les informations de facturation"
"Retrieve list of invoices by filters","Récupérer la liste filtrée des factures"
"Retrieve list of orders by filters","Récupérer la liste filtrée des commandes"
"Retrieve list of shipments by filters","Récupérer la liste filtrée des livraisons"
"Retrieve order information","Récupérer les informations de commande"
"Retrieve shipment information","Récupérer les informations de livraison"
"Returned","Retourné"
"Row Total","Total ligne"
"SHIP TO:","LIVRÉ À :"
"SKU","SKU"
"SOLD TO:","VENDU À :"
"Sales","Ventes"
"Sales Emails","Mails des ventes"
"Same As Billing Address","Identique à l'adresse de facturation"
"Save in address book","Enregistrer dans le carnet d'adresses"
"Select from existing customer addresses:","Sélectionner d'une adresse client existante"
"Send Credit Memo Comment Email Copy To","Envoyer une copie du mail de commentaire d'avoir à"
"Send Credit Memo Email Copy To","Envoyer une copie du mail d'avoir à"
"Send Invoice Comment Email Copy To","Envoyer une copie du mail de commentaire de facture à"
"Send Invoice Email Copy To","Envoyer une copie du mail de facture à"
"Send Order Comment Email Copy To","Envoyer une copie du mail de commentaire de commande à"
"Send Order Email Copy Method","Envoyer une copie du mail de commande en utilisant la méthode"
"Send Order Email Copy To","Envoyer une copie du mail de commande à"
"Send Shipment Comment Email Copy To","Envoyer une copie du mail de commentaire de livraison"
"Send Shipment Email Copy To","Envoyer une copie du mail de livraison à"
"Send Tracking Information","Envoyer les informations de suivi"
"Ship","Expédier"
"Ship to","Livré à"
"Ship to First name","Nom de famille (Livr.)"
"Ship to Last name","Prénom (Livr.)"
"Ship to Name","Nom (Livr.)"
"Shipment","Livraison"
"Shipment #","Expédition N°"
"Shipment #%s","Livraison n°%s"
"Shipment Comment Email Sender","Expéditeur du mail de commentaire de livraison"
"Shipment Comment Email Template","Gabarit du mail de commentaire de livraison"
"Shipment Comment Email Template for Guest","Gabarit de mail de commentaire d'expédition pour un invité"
"Shipment Comments","Commentaires de livraison"
"Shipment Email Sender","Expéditeur du mail d'expédition"
"Shipment Email Template","Gabarit de mail de livraison"
"Shipment Email Template for Guest","Gabarit de mail d'expédition pour un invité"
"Shipment Update","Mise à jour de l'expédition"
"Shipment Update for Guest","Mise à jour de l'expédition pour un invité"
"Shipment email not sent","Mail de livraison non envoyé"
"Shipment email sent","Mail de livraison envoyé"
"Shipments","Expéditions"
"Shipped","Livré"
"Shipped By","Livré par"
"Shipping","Livraison"
"Shipping & Handling","Livraison et traitement"
"Shipping & Handling:","Livraison et traitement :"
"Shipping &amp; Handling","Livraison et traitement"
"Shipping &amp; Handling Information","Informations de livraison et de traitement"
"Shipping Address","Adresse de livraison"
"Shipping Amount","Montant de la livraison"
"Shipping Information","Informations de livraison"
"Shipping Method","Mode de livraison"
"Shipping Method:","Mode de livraison :"
"Shipping Refund","Remboursement de la livraison"
"Shopping Cart","Panier"
"Signed Up From","Inscrit sur"
"Sku","SKU"
"Some items have quantities exceeding allowed quantities. Please select a lower quantity to checkout.","Certains articles ont des quantités supérieures à celles autorisées. Saisissez une quantité plus faible avant de régler."
"Some of the products below don\'t have all the required options. Please remove them and add again with all the required options.","Certains articles ci-dessous n\'ont pas toutes les options obligatoires. Veuillez les supprimer et les ajouter de nouveau en spécifiant toutes les options."
"Sorry, no quotes are available for this order at this time.","Désolé, aucune estimation n'existe pour cette commande pour l'instant"
"Source object is not specified.","L'objet source n'est pas spécifié."
"State/Province","État/Région"
"Status","Statut"
"Store Credit","Carte de crédit du magasin"
"Submit Comment","Valider"
"Submit Credit Memo","Sauvegarder l'avoir"
"Submit Invoice","Sauvegarder la facture"
"Submit Order","Envoyer la commande"
"Submit Shipment","Valider l'expédition"
"Subscribe to Newsletter","S'abonner à la newsletter"
"Subscribe to Order Status","S'abonner au statut de commande"
"Subtotal","Sous-total"
"Subtotal after discount","Sous-total après remise"
"TAX/VAT Number","Numéro de TVA intracommunautaire"
"Tax","TVA"
"Tax :","TVA :"
"Tax Amount","Montant TVA"
"Telephone","Téléphone"
"The item %s (SKU %s) doesn\'t exist in the catalog anymore","L\'article %s (SKU %s) n\'existe plus dans le catalogue"
"There are no printable documents related to selected orders","Il n'y a pas de documents imprimables en relation avec les commandes sélectionnées"
"This message will be shown in shopping cart when subtotal after discount less than minimum amount","Ce message sera affiché dans le panier quand le sous-total après remise sera inférieur au montant mini."
"This order no longer exists.","Cette commande n'existe plus."
"Title","Titre"
"To","Et"
"To Name","Pour (nom)"
"To:","À :"
"Total Due","Total dû"
"Total Paid","Total payé"
"Total Qty","Qté totale"
"Total Refund","Remboursement total"
"Total Refunded","Total remboursé"
"Total Shipping Charges","Montant total de la livraison"
"Total Tax","TVA"
"Total(ex)","Total (HT)"
"Total(inc)","Total (TTC)"
"Track Order","Suivre la commande"
"Track all shipment(s)","Suivre toutes les livraisons"
"Track all shipments","Suivre toutes les livraisons"
"Track this shipment","Suivre cette livraison"
"Track your order","Suivre votre commande"
"Tracking","Suivi"
"Tracking Number","Numéro de suivi"
"Tracking Number(s)","Numéro(s) de suivi"
"Unhold","Débloquer"
"Unhold order","Débloquer la commande"
"Unknown State","État inconnu"
"Unknown Status","Statut inconnu"
"Update Changes","Mettre à jour les modifications"
"Update Qty\'s","Mettre à jour les quantités"
"Validate each address separately in multi-address checkout","Valider séparément les adresses lors de commandes multi-adresses"
"View","Voir"
"View All","Tout voir"
"View Order","Voir la commande"
"Void","Invalider"
"Void invoice","Invalider la facture"
"Website","Site web"
"Wishlist","Liste d'envies"
"You have placed no orders.","Vous n'avez jamais commandé."
"ZIP/Post Code","Code postal"
"separate by "",""","séparés par "","""
"Customer","Client"
"Notified","Notifié"
"Not Notified","Non notifié"
"Order # %s | Order Date %s","Commande n°%s | Date de commande %s"
"New Invoice for Order #%s","Nouvelle facture pour la commande n°%s"
"Invoice #%s | %s (%s)","Facture n°%s | %s (%s)"
"New Credit Memo for Order #%s","Nouvel avoir pour la commande n°%s"
"New Credit Memo for Invoice #%s","Nouvel avoir pour la facture n°%s"
"Return to Stock","Remettre en stock"
"Qty to Refund","Qté à rembourser"
"Refund Shipping","Remboursement de livraison"
"Credit Memo #%s | Date %s | Status %s (%s)","Avoir n°%s | Date %s | Statut %s (%s)"
"New Shipment for Order #%s","Nouvelle expédition pour la commande n°%s"
"Shipment #%s (%s)","Expédition N°%s (%s)"
"Shipping and Tracking Information","Informations de livraison et de suivi"
"Update Qty's","Mettre à jour les quantités"
