"%s already exist","%s existent déjà"
"%s already exists","%s existe déjà"
"-- Please Select --","-- Votre choix --"
"Please enter a valid email address. For example johndoe@domain.com.","Veuillez saisir une adresse email valide. Par exemple johndoe@domaine.com"
"Please enter a valid number in this field.","Veuillez saisir un nombre valide."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Veuillez saisir un numéro de téléphone valide."
"Please enter a valid social security number. For example 123-45-6789.","Veuillez saisir un numéro de sécurité sociale valide. Par exemple 123-45-6789."
"Please enter a valid zip code.","Veuillez saisir un code postal valide."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Veuillez saisir un code postal valide. Par exemple 93100."
"Please enter valid password.","Veuillez saisir un mot de passe valide."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Assurez-vous que l'URL de base se termine par un '/' (slash), par ex. http://votredomaine/magento/"
"Please make sure your passwords match.","Veuillez vérifier que les mots de passe concordent."
"Please select State/Province.","Veuillez choisir un état/province."
"Please select an option.","Sélectionnez une option"
"Please select one of the above options.","Veuillez choisir une des options ci-dessus."
"Please select one of the options.","Veuillez choisir une des options."
"Please specify payment method.","Choisissez un mode de paiement."
"Please specify shipping method.","Choisissez un mode de livraison."
"Please use letters only (a-z or A-Z) in this field.","Veuillez utiliser uniquement des lettres (a-z ou A-Z) dans ce champs."
"Please use letters only (a-z) in this field.","Veuillez utiliser uniquement des lettres (a-z) dans ce champ."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Seuls les chiffres sont autorisés dans ce champ. Évitez les espaces ou autres caractères tels que les points ou les virgules."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Veuillez utiliser uniquement des lettres (a-z) ou des chiffres (0-9) dans ce champ. Les espaces et autres caractères ne sont pas autorisés."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Veuillez utiliser uniquement des lettres (a-z), des chiffres (0-9), des espaces ou des dièses (#) dans ce champ."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Veuillez utiliser uniquement des lettres (a-z), des chiffres (0-9) ou underscore (_) dans ce champ, en commençant par une lettre."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Veuillez utiliser le format de date : jj/mm/aaaa. Par exemple, 17/03/2006 pour le 17 mars 2006."
"Please wait, loading...","Veuillez patienter, chargement en cours..."
"Polls","Sondages"
"Port (25)","Port (25)"
"Profiler","Profileur"
"Prototype Deprecation Log","Log de dépréciation Prototype"
"Request path for specified store","Chemin de requête pour le magasin spécifié"
"Requested invalid store ""%s""","Le magasin demandé n'est pas valide : ""%s"""
"Resource is not set","La ressource n'est pas configurée"
"Root Category","Catégorie racine"
"SMTP settings (Windows server only)","Paramètres SMTP (serveur Windows seulement)"
"Sales representative","Représentant des ventes"
"Save","Sauvegarder"
"Save Store","Sauvegarder le magasin"
"Save Store View","Sauvegarder la vue magasin"
"Save Website","Sauvegarder le site web"
"Schedule ahead for","Programmer en avance de"
"Search Engines Optimization","Optimisation pour les moteurs de recherche"
"Secure","Sécurisé"
"Sender email","Mail de l'expéditeur"
"Sender name","Nom de l'expéditeur"
"Services","Services"
"Session Cookie management","Gestion des cookies de session"
"Session Validation Settings","Paramètres de validation de session"
"Set as default","Valeur par défaut"
"Skin (Images / CSS)","Habillage (Images / CSS)"
"Sort order","Ordre de tri"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","La date/heure spécifiée ""%1$s"" ne correspond pas au format ""%é$s"""
"Start date can\'t be greater than end date","La date de début ne peut pas être postérieure à la date de fin"
"Startup page","Page de démarrage"
"Status","Statut"
"Store","Magasin"
"Store Email Addresses","Adresses mail du magasin"
"Store Information","Informations magasin"
"Store Name","Nom magasin"
"Store View Information","Information de vue magasin"
"Store View Name","Nom de vue magasin"
"Store View was successfully saved","La vue magasin a bien été sauvegardée"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Le code de magasin ne doit contenir que des lettres (a-z), des chiffres (0-9) ou des underscores (_), et le premier caractère doit être une lettre"
"Store doesn't exist","Le magasin n'existe pas"
"Store view doesn't exist","La vue magasin n'existe pas"
"Store view was successfully deleted.","La vue magasin a bien été effacée."
"Store was successfully deleted.","Le magasin a bien été supprimé"
"Store was successfully saved","Le magasin a bien été sauvegardé"
"Store with the same code","Magasin avec le même code"
"Stores","Magasins"
"Success history lifetime","Historique de réussites"
"System","Système"
"System Log File Name","Nom de fichier de logs système"
"Template Path Hints","Astuce chemin des gabarits"
"Templates","Gabarits"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Le %s que vous avez saisi n'est pas valide. Veuillez vérifier qu'il respecte le format ""http://domaine.com/""."
"Themes","Thèmes"
"This category and all its child elements","Cette catégorie et tous ses descendants"
"This category and its child categories only","Cette catégorie et toutes ses sous-catégories"
"This category and its products only","Cette catégorie et ses produits seulement"
"This category only","Cette catégorie seulement"
"This is a required field.","Ce champ est obligatoire."
"This store cannot be deleted","Ce magasin ne peut pas être effacé"
"This store cannot be deleted.","Ce magasin ne peut pas être effacé."
"This store view cannot be deleted","Cette vue magasin ne peut pas être effacée"
"This store view cannot be deleted.","Cette vue magasin ne peut pas être effacée."
"This website cannot be deleted","Ce site web ne peut pas être effacé"
"This website cannot be deleted.","Ce site web ne peut pas être effacé."
"This will be displayed just before body closing tag","Ceci sera affiché juste avant la balise de fermeture de body"
"Timezone","Fuseau horaire"
"Title Prefix","Préfixe du titre"
"Title Suffix","Suffixe du titre"
"Translate Inline","Traduire en ligne"
"Translate cache should be disabled for both Frontend and Admin inline translations","Le cache des traductions doit être désactivé pour les traductions en ligne"
"Translations","Traductions"
"Unable to create backup. Please, try again later.","Impossible de faire une sauvegarde. Veuillez réessayer ultérieurement."
"Unable to delete store view. Please, try again later.","Impossible de supprimer la vue magasin. Veuillez réessayer ultérieurement."
"Unable to delete store. Please, try again later.","Impossible de supprimer le magasin. Veuillez réessayer ultérieurement."
"Unable to delete website. Please, try again later.","Impossible de supprimer le site web. Veuillez réessayer ultérieurement."
"Unable to proceed. Please, try again","Impossible de continuer. Veuillez réessayer ultérieurement."
"Unknown scope ""%s""","Portée ""%s"" inconnue"
"Unsecure","Non sécurisé"
"Url Options","Options d'URL"
"Use Secure URLs in Admin","Utiliser des URLs sécurisées dans l'administration"
"Use Secure URLs in Frontend","Utiliser des URLs sécurisées sur le frontend"
"Use Web Server Rewrites","Utiliser les réécriture du serveur web"
"Use custom admin URL","Utiliser une URL d'admin personnalisée"
"Validate HTTP_USER_AGENT","Valider HTTP_USER_AGENT"
"Validate HTTP_VIA","Valider HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Valider HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Valider REMOTE_ADDR"
"Web","Web"
"Website","Site web"
"Website Information","Informations site web"
"Website Name","Nom du site web"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Le site web ne doit contenir que des lettres (a-z), des chiffres (0-9) ou des underscores (_), et le premier caractère doit être une lettre"
"Website doesn't exist","Le site web n'existe pas"
"Website was successfully deleted.","Le site web a bien été supprimé"
"Website was successfully saved","Le site web a bien été sauvegardé"
"Website with the same code","Site web avec le même code"
"Weekend Days","Jours de weekend"
"Welcome Text","Texte de bienvenue"
"Wrong number of arguments for %s","Nombre d'arguments erroné pour %s"
"Your order can not be completed at this time as there is no payment methods available for it.","Impossible de terminer votre commande pour le moment, il n'y a pas de mode de paiement disponible."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make neccessary changes in your shipping address.","Impossible de terminer votre commande pour le moment, il n'y a pas de mode de livraison disponible pour cette destination. Vous pouvez modifier l'adresse de livraison pour continuer."
"Your session has been expired, you will be relogged in now.","Votre session a expiré, veuillez vous connecter à nouveau."
"Base Image","Image de base"
"Small Image","Petite image"
"Thumbnail","Image miniature"
"Currency","Devise"
"Search","Rechercher"
